block,mode,kem,signature,median_ms,first_mode
4,cold,smaug5,aimer128f,4.800493,warm
4,cold,smaug1,aimer128f,4.584293,warm
4,cold,smaug1,aimer192f,6.590816,warm
4,cold,smaug3,haetae5,3.463048,warm
4,cold,smaug3,aimer256f,11.655059,warm
4,cold,smaug1,haetae5,3.954728,warm
4,cold,smaug3,haetae3,3.769902,warm
4,cold,X25519,EC,1.51007,warm
4,cold,ntruplus_kem768,haetae2,4.660338,warm
4,cold,ntruplus_kem1152,haetae3,4.100223,warm
5,warm,ntruplus_kem768,aimer128f,3.942918,warm
5,warm,smaug5,aimer192f,7.502211,warm
5,warm,smaug3,haetae3,2.713812,warm
5,warm,smaug3,aimer256f,11.048689,warm
5,warm,smaug1,haetae3,2.66343,warm
5,warm,ntruplus_kem864,aimer256f,11.24634,warm
5,warm,ntruplus_kem576,aimer256f,11.146444,warm
5,warm,ntruplus_kem1152,haetae2,3.654766,warm
5,warm,ntruplus_kem864,aimer128f,4.182161,warm
5,warm,smaug5,haetae3,3.401941,warm
5,warm,ntruplus_kem1152,haetae5,4.406605,warm
5,warm,ntruplus_kem576,aimer128f,3.787796,warm
5,warm,ntruplus_kem768,aimer256f,11.286168,warm
5,warm,smaug5,haetae5,3.02953,warm
5,warm,ntruplus_kem1152,aimer192f,6.614683,warm
5,warm,smaug5,aimer256f,10.994137,warm
5,warm,smaug1,aimer128f,3.581233,warm
5,warm,ntruplus_kem768,haetae3,3.347009,warm
5,warm,smaug5,haetae2,2.844235,warm
5,warm,smaug1,haetae5,3.290137,warm
5,warm,smaug1,aimer256f,10.938365,warm
5,warm,ntruplus_kem576,haetae3,2.929176,warm
5,warm,ntruplus_kem576,haetae5,5.617647,warm
5,warm,smaug3,haetae5,2.691631,warm
5,warm,smaug3,haetae2,3.283437,warm
5,warm,ntruplus_kem768,haetae5,4.198489,warm
5,warm,smaug3,aimer128f,3.743668,warm
5,warm,ntruplus_kem1152,aimer256f,11.517485,warm
5,warm,ntruplus_kem864,aimer192f,6.554225,warm
5,warm,ntruplus_kem576,haetae2,4.981823,warm
5,warm,ntruplus_kem768,haetae2,3.425858,warm
5,warm,X25519,EC,0.846014,warm
5,warm,ntruplus_kem768,aimer192f,6.39491,warm
5,warm,ntruplus_kem1152,aimer128f,4.195464,warm
5,warm,ntruplus_kem864,haetae3,3.061467,warm
5,warm,smaug1,aimer192f,6.138154,warm
5,warm,smaug3,aimer192f,6.188658,warm
5,warm,ntruplus_kem864,haetae5,3.721458,warm
5,warm,ntruplus_kem576,aimer192f,6.471277,warm
5,warm,smaug5,aimer128f,3.724114,warm
5,warm,smaug1,haetae2,2.770764,warm
5,warm,ntruplus_kem1152,haetae3,3.122467,warm
5,warm,ntruplus_kem864,haetae2,3.233133,warm
5,cold,ntruplus_kem768,aimer128f,4.880318,warm
5,cold,smaug5,aimer192f,6.988057,warm
5,cold,smaug3,haetae3,3.881038,warm
5,cold,smaug3,aimer256f,11.704659,warm
